,CTRY,name
785,EL,Sykea Chalkidikis
786,EL,Eratini Fokidas
787,EL,Moni Vatopediou Agiou Orous
788,EL,Moni Iviron Agiou Orous
789,EL,Nea Psara Chiou
790,EL,Panormos Tinou
791,EL,Petriti Kerkyras
792,EL,Porto Kagio Lakonias
793,EL,Sikia (Porto Rafti)
794,EL,Trikeri Island
795,EL,Other  Greece
800,EL,North Evoikos
801,EL,Agios Georgios Saronikou 
802,EL,Panormitis
803,EL,Atherinolakos
804,EL,Achladi
805,EL,Adamos Milos
806,EL,Agia Efimia
807,EL,Aegina
808,EL,Aegio
809,EL,Agria Volou
810,EL,Agios Nikolaos Fokidas
811,EL,Agistri Aiginas
812,EL,Agiokampos Larissas
813,EL,Agia Marina Fthiotidas
814,EL,Agathonissi  Dodekanissou
815,EL,Agios Eystratios Lesvou
816,EL,Agii Theodori
817,EL,Aigiali Amorgou
818,EL,Agios Kyrikos
819,EL,Agia Kyriaki (Trikeri Magnisias)
820,EL,Agios Konstantinos
821,EL,Aktio Vonitsas
822,EL,Alonissos
823,EL,Amfilochia
824,EL,Amoliani
825,EL,Amorgos(Katapola)
826,EL,Agia  Marina Aiginas
827,EL,Anafi Kyklades
828,EL,Andros
829,EL,Agios Nikolaos Creta
830,EL,Agnontas Skopelou
831,EL,Antiparos
832,EL,Antirio
833,EL,Karpathos
834,EL,Agia Pelagia
835,EL,Amaliapolis Magnissias
836,EL,Arkii Dodekanissou 
837,EL,Arkitsa Fthiotidas
838,EL,Argostoli
839,EL,Astros Arkadias
840,EL,Araxos
841,EL,Agios Stefanos Corfu
842,EL,Aspropyrgos
843,EL,Astakos
844,EL,Antikyra
845,EL,Athinios Thira Santorini
846,EL,Altsi
847,EL,Alexandroupolis
848,EL,Corfu
849,EL,Canea
850,EL,Chalkida
851,EL,Chora Sfakion
852,EL,Dafni Agiou Orous
853,EL,Diafani Karpathou
854,EL,Diakofti Kythiron
855,EL,Dombraina Boiotias
856,EL,Donoussa Kyklades
857,EL,Drapetsona
858,EL,Drepano Riou
859,EL,Edipsos
860,EL,Eleusina
861,EL,Elafonissos Lakonias
862,EL,Eleftheres
863,EL,Eretria Evoias
864,EL,Ereikousses Diapontioi Islands 
865,EL,Ermioni
866,EL,Eydilos
867,EL,Farmakonissi Dodekanissou
868,EL,Fiskardo Kefallinias
869,EL,Faneromeni Salaminas
870,EL,Folegandros Kyklades
871,EL,Fourni Samou
872,EL,Gavdos Chanea
873,EL,Galatas Trizinias
874,EL,Gavrio
875,EL,Glossa Skopelou
876,EL,Glyfa Fthiotidas
877,EL,Agia Marina Attikis
878,EL,Patras
879,EL,Gythio
880,EL,Chalki Dodekanissou
881,EL,Heraklio
882,EL,Iraklia Kyklades
883,EL,Hydra
884,EL,Ierapetra Lasithiou 
885,EL,Ierissos Chalkidikis 
886,EL,Igoumenitsa
887,EL,Inousses
888,EL,Ios
889,EL,Itea
890,EL,Ithaki
891,EL,Istmia
892,EL,Chios
893,EL,Mykonos
894,EL,Naxos
895,EL,Sitia
896,EL,Skiathos
897,EL,Syros
898,EL,Thira
899,EL,Astypalea
900,EL,Karkinagri Samou
901,EL,Katakolo
902,EL,Kapsali
903,EL,Karlovassi
904,EL,Megisti Kastelorizou
905,EL,Kea
906,EL,Kefalos Kos
907,EL,Kosta Ermionidos
908,EL,Keramoti
909,EL,Kos
910,EL,Kymi
911,EL,Koilas Ermionidos Argolidos
912,EL,Kiato
913,EL,Kastelli Kissamou
914,EL,Kalathos Rodou
915,EL,Kaloi Limenes Rethymno
916,EL,Kalamata
917,EL,Kalymnos
918,EL,Kimolos
919,EL,Kontias Limnou
920,EL,Koufonissi Kyklades
921,EL,Sifnos
922,EL,Kardamaina Kos
923,EL,Korinthos
924,EL,Kassos
925,EL,Kassiopi Corfu
926,EL,Karystos
927,EL,Katapola
928,EL,Keratsini
929,EL,Kavala
930,EL,Kylini
931,EL,Kymassio
932,EL,Kythnos
933,EL,Lavrio
934,EL,Lindos Rodou
935,EL,Lefkadi
936,EL,Lefkada
937,EL,Lefkimi
938,EL,Linaria
939,EL,LinoperamataÂ Herakliou
940,EL,Lipsi Dodekanissou
941,EL,Lixouri
942,EL,Leonidio
943,EL,Leros(Lakki)
944,EL,Larymna
945,EL,Loutro Chania
946,EL,Aliverio
947,EL,Moudros
948,EL,Messologi
949,EL,Menidi Etolokarnanias
950,EL,Methana
951,EL,Meganissi
952,EL,Megara
953,EL,Mesta
954,EL,Mytilene
955,EL,Milos (Adamas)
956,EL,Molyvos Lesvou
957,EL,Monemvasia
958,EL,Marmari
959,EL,Mathraki Diapontioi Nisoi
960,EL,Mastichari Kos
961,EL,Myrina
962,EL,Nafplio
963,EL,Naoussa Parou
964,EL,Neapoli Lakonias
965,EL,Nidri
966,EL,Nissyros
967,EL,Nea Karvali
968,EL,Nea Moudania
969,EL,Nea Styra
970,EL,Oia Kykladon 
971,EL,Orei
972,EL,Oropos
973,EL,Othonoi
974,EL,Ouranoupoli Chalkidikis
975,EL,Palaia Psara
976,EL,Paloukia  Salaminas
977,EL,Parga
978,EL,Paros
979,EL,Paxi
980,EL,Perama
981,EL,Petra  Lesvou
982,EL,Anavissos Palaia Fokaia Attikis
983,EL,Perama Geras Mytilinis 
984,EL,Porto Heli
985,EL,Platania Magnisias
986,EL,Piraeus
987,EL,Pissaetos Ithakis
988,EL,Poros Kefallinias
989,EL,Lakkion
990,EL,Polihnitos Lesvou
991,EL,Platygiali Etoloakarnanias
992,EL,Plomari Lesvou
993,EL,Petra
994,EL,Pachi
995,EL,Patmos
996,EL,Potamos Antikithera
997,EL,Prinos Thassou
998,EL,Petries Evvoias
999,EL,Psahna
1000,EL,Pserimos Dodekanisou
1001,EL,Paleochora Sfakion
1002,EL,Pessada  Kefallinias
1003,EL,Plataria Thesprotias
1004,EL,Politika
1005,EL,Porto Lagos
1006,EL,Poros Trizinias
1007,EL,Preveza
1008,EL,Pylos
1009,EL,Pythagorio
1010,EL,Pevki Evvoias
1011,EL,Rafina
1012,EL,Rethymno
1013,EL,Rhodes
1014,EL,Rio
1015,EL,Agia Roumeli Chanion
1016,EL,Samothraki
1017,EL,Frikes Ithakis
1018,EL,Seriphos
1019,EL,Sigri Lesvou
1020,EL,Sagiada Thesprotias
1021,EL,Stavros Chalkidikis
1022,EL,Schinoussa Kyklades
1023,EL,Shinari  Zakyntou
1024,EL,Sikinos Kyklades
1025,EL,Skaramagas
1026,EL,Thessaloniki
1027,EL,Skopelos
1028,EL,Skyros (Linaria)
1029,EL,Souvala  Aiginas
1030,EL,Sami
1031,EL,Sougia
1032,EL,Spetses
1033,EL,Stratonio
1034,EL,Souda Bay
1035,EL,Symi
1036,EL,Panormitis Symis
1037,EL,Stylida
1038,EL,Thymaina Island
1039,EL,Tilos Dodekanissou
1040,EL,Tinos
1041,EL,Tolo Argolidas
1042,EL,Thirasia
1043,EL,Trypiti Chalkidikis
1044,EL,Thassos
1045,EL,Volissos (Limnia) Chios
1046,EL,Volos
1047,EL,Bassiliki Leykados
1048,EL,Vathy Samou
1049,EL,Yerakini
1050,EL,Yali Island (Nissirou)
1051,EL,Zakynthos
